2026-05-11 09:30:01.924064-04:00,PB,100000.01,99999.0
2026-05-11 09:35:03.208921-04:00,PB,100002.15,98816.91
2026-05-11 09:40:04.317764-04:00,PB,100068.09,80176.5
2026-05-11 09:45:06.326540-04:00,PB,100121.25,80176.5
2026-05-11 09:50:07.318035-04:00,PB,100129.51,80176.5
2026-05-11 09:55:08.232952-04:00,PB,100067.32,80176.5
2026-05-11 10:00:09.473833-04:00,PB,100058.99,80176.5
2026-05-11 10:05:10.566853-04:00,PB,100088.24,76167.67
2026-05-11 10:10:11.659176-04:00,PB,100086.4,76167.67
2026-05-11 10:15:12.731069-04:00,PB,100106.7,76167.67
2026-05-11 10:20:13.659449-04:00,PB,100111.66,76167.67
2026-05-11 10:25:14.630149-04:00,PB,100117.5,76167.67
2026-05-11 10:30:15.839154-04:00,PB,100032.45,76167.67
2026-05-11 10:35:16.890630-04:00,PB,100043.6,68550.91
2026-05-11 10:40:17.846354-04:00,PB,100090.68,68550.91
2026-05-11 10:45:18.918128-04:00,PB,100116.86,68550.91
2026-05-11 10:50:19.983788-04:00,PB,100149.34,68550.91
2026-05-11 10:55:21.058914-04:00,PB,100208.09,71075.72
2026-05-11 11:00:22.174273-04:00,PB,100161.6,71075.72
2026-05-11 11:05:23.491832-04:00,PB,100159.47,71075.72
2026-05-11 11:10:24.417772-04:00,PB,100182.45,71075.72
2026-05-11 11:15:25.392269-04:00,PB,100129.94,71075.72
2026-05-11 11:20:26.352807-04:00,PB,100136.86,71075.72
2026-05-11 11:25:27.358221-04:00,PB,100148.92,71075.72
2026-05-11 11:30:28.352606-04:00,PB,100182.51,71075.72
2026-05-11 11:35:29.392146-04:00,PB,100172.61,71075.72
2026-05-11 11:40:30.378493-04:00,PB,100181.76,71075.72
2026-05-11 11:45:31.494106-04:00,PB,100169.37,71075.72
2026-05-11 11:50:32.528066-04:00,PB,100184.18,71075.72
2026-05-11 11:55:33.552307-04:00,PB,100219.22,71075.72
2026-05-11 12:00:34.657728-04:00,PB,100216.71,71075.72
2026-05-11 12:05:35.669456-04:00,PB,100204.59,71075.72
2026-05-11 12:10:36.775654-04:00,PB,100203.15,71075.72
2026-05-11 12:15:37.720546-04:00,PB,100201.65,71075.72
2026-05-11 12:20:38.682468-04:00,PB,100192.39,71075.72
2026-05-11 12:25:39.671581-04:00,PB,100203.64,71075.72
2026-05-11 12:30:40.845068-04:00,PB,100207.57,71075.72
2026-05-11 12:35:41.793040-04:00,PB,100211.44,71075.72
2026-05-11 12:40:42.782547-04:00,PB,100184.92,71075.72
2026-05-11 12:45:43.857676-04:00,PB,100177.9,71075.72
2026-05-11 12:50:44.835162-04:00,PB,100165.16,71075.72
2026-05-11 12:55:45.776525-04:00,PB,100155.43,71075.72
2026-05-11 13:00:47.037853-04:00,PB,100165.17,71075.72
2026-05-11 13:05:48.103155-04:00,PB,100169.26,71075.72
2026-05-11 13:10:49.020010-04:00,PB,100145.72,71075.72
2026-05-11 13:15:50.086137-04:00,PB,100129.49,71075.72
2026-05-11 13:20:51.184044-04:00,PB,100110.94,71075.72
2026-05-11 13:25:52.139577-04:00,PB,100141.98,67521.93
2026-05-11 13:30:53.227949-04:00,PB,100175.22,67521.93
2026-05-11 13:35:54.152321-04:00,PB,100184.43,67521.93
2026-05-11 13:40:55.103379-04:00,PB,100191.8,67521.93
2026-05-11 13:45:56.070458-04:00,PB,100203.63,67521.93
2026-05-11 13:50:57.083164-04:00,PB,100185.12,67521.93
2026-05-11 13:55:58.070373-04:00,PB,100159.3,67521.93
2026-05-11 14:00:59.128655-04:00,PB,100165.76,67521.93
2026-05-11 14:06:00.257194-04:00,PB,100173.57,67521.93
2026-05-11 14:11:01.356569-04:00,PB,100175.92,67521.93
2026-05-11 14:16:02.434669-04:00,PB,100171.72,67521.93
2026-05-11 14:21:03.556215-04:00,PB,100162.0,67521.93
2026-05-11 14:26:04.459565-04:00,PB,100164.15,67521.93
2026-05-11 14:31:05.519197-04:00,PB,100156.7,67521.93
2026-05-11 14:36:06.545890-04:00,PB,100155.29,64145.83
2026-05-11 14:41:07.570541-04:00,PB,100110.77,60938.54
2026-05-11 14:46:08.609154-04:00,PB,100121.77,57891.61
2026-05-11 14:51:09.598545-04:00,PB,100106.04,54997.03
2026-05-11 14:56:10.589776-04:00,PB,100084.73,52247.18
2026-05-11 15:01:11.832483-04:00,PB,100019.42,49634.82
2026-05-11 15:06:12.894184-04:00,PB,100052.11,45912.21
2026-05-11 15:11:14.140625-04:00,PB,100072.64,43616.6
2026-05-11 15:16:15.323204-04:00,PB,100033.6,41435.77
2026-05-11 15:21:16.424632-04:00,PB,99987.34,39363.98
2026-05-11 15:26:17.473552-04:00,PB,99955.62,37395.78
2026-05-11 15:31:18.522673-04:00,PB,99980.03,34591.1
2026-05-11 15:36:19.675338-04:00,PB,100002.42,32861.54
2026-05-11 15:41:20.809375-04:00,PB,99975.58,31218.46
2026-05-11 15:46:21.922071-04:00,PB,99850.62,29657.54
2026-05-11 15:51:23.000542-04:00,PB,99855.01,27433.22
2026-05-11 15:56:23.975386-04:00,PB,99782.4,25375.73
